ID	post_title	post_name	post_date	post_status
4603	LPE Society’s People Over Courts: How to Beat an Extremist 6-3 Majority	lpe-societys-people-over-courts-how-to-beat-an-extremist-6-3-majority	2020-09-26 00:23:26	publish
4593	Progressive Talent Pipeline: Apply by September 30!	progressive-talent-pipeline-apply-by-september-30	2020-09-23 14:26:31	publish
4577	Introducing the Journal of Law and Political Economy	introducing-the-journal-of-law-and-political-economy	2020-09-18 21:02:26	publish
4568	LPE Society's LPE 101 Reading Group on Contracts	lpe-societys-lpe-101-reading-group-on-contracts	2020-09-17 00:39:49	publish
4684	Intro to LPE with Amy Kapczynski	lpe-101-intro-i	2020-09-14 16:15:43	publish
4561	Emerging Scholars Happy Hour & Mentoring Session	emerging-scholars-happy-hour-mentoring-session	2020-09-14 16:14:11	publish
4538	Inframarginalism & Internet: A Conference on Markets as Wealth Distributors, and the Implications for Tech Policy	inframarginalism-internet-a-conference-on-markets-as-wealth-distributors-and-the-implications-for-tech-policy	2020-09-09 15:47:15	publish
4515	APPEAL Reading Group: What is Capitalism?	appeal-reading-group-what-is-capitalism-3	2020-09-03 23:27:18	publish
4483	CFP: JCRED Special Issue on Racial Capitalism	cfp-jcred-special-issue-on-racial-capitalism	2020-08-22 13:28:45	publish
4420	Pandemic Inequality	pandemic-inequality	2020-08-11 14:54:39	publish
3957	American Empire with Asli Bâli & Aziz Rana	american-empire-with-asli-bali-aziz-rana	2020-08-10 08:54:00	publish
3955	The Criminal Legal System with Jonathan Simon & Sean Ossei-Owusu	the-criminal-legal-system-with-jonathan-simon-sean-ossei-owusu	2020-08-01 11:52:00	publish
4418	APPEAL Reading Group: What Is Capitalism?	appeal-reading-group-what-is-capitalism-2	2020-08-01 11:00:00	publish
3971	APPEAL reading group:  What is Capitalism?	appeal-reading-group-what-is-capitalism	2020-07-20 18:38:33	publish
3954	Labor & Employment with Veena Dubal & Kate Andrias	labor-employment-with-veena-dubal-kate-andrias	2020-07-16 23:47:54	publish
3952	“Regulation and the Geography of Inequality” with Sitaraman Ricks, and Serkin	regulation-and-the-geography-of-inequality-sitaraman-ricks-and-serkin	2020-07-16 23:44:08	publish
3951	Social Movements with Amna Akbar, Jocelyn Simonson, & Sameer Ashar	social-movements-with-amna-akbar-jocelyn-simonson-sameer-ashar	2020-07-16 23:24:41	publish
3950	Money and Banking with Mehrsa Baradaran & Rohan Grey	money-and-banking-with-mehrsa-baradaran-rohan-grey	2020-07-16 23:22:25	publish
3949	Antitrust with Sanjukta Paul & Sandeep Vaheesan	antitrust-with-sanjukta-paul-sandeep-vaheesan	2020-07-16 23:11:26	publish
